Year,Bill No.,Short Title,Date of Introduction / House,Debate / Passed in LS,Debate / Passed in RS,Referred to Committee / Report Presented,Assent Date/ Gazette Notification / Act No.,Synopsis
2021,135,"The Hepatitis (Prevention of Discrimination and Control) Bill, 2021",01/04/2022  (Lok Sabha),,,,,
2021,100,"The Compulsory Teaching of Sex Education in Educational Institutions Bill, 2021",01/04/2022  (Lok Sabha),,,,,
2020,74,"The Payment of Minimum Wages (for Private School Teachers) Bill, 2020",01/04/2022  (Lok Sabha),,,,,
2020,72,"The Constitution (Amendment) Bill, 2020 (Amendment of articles 243C and 243D)",01/04/2022  (Lok Sabha),,,,,
2020,70,"The Regulation of Sale of Schedule-H Drugs Bill, 2020",01/04/2022  (Lok Sabha),,,,,
2020,47,"The Environment Protection (Management and Control of Non-biodegradable Waste) Bill, 2020.",01/04/2022  (Lok Sabha),,,,,
2020,44,"The Special Financial Assistance for Protection of Water Bodies in the State of Rajasthan Bill, 2020",01/04/2022  (Lok Sabha),,,,,
2020,15,"The Special Financial Assistance for Protection of Water Bodies in the State of Madhya Pradesh Bill, 2020.",01/04/2022  (Lok Sabha),,,,,
2020,12,"The Special Financial Assistance to the State of Punjab Bill, 2020.",01/04/2022  (Lok Sabha),,,,,
2020,11,"The Constitution (Amendment) Bill, 2020 (Amendment of article 124, etc.)",01/04/2022  (Lok Sabha),,,,,
2022,93,"The Criminal Procedure (Identification) Bill, 2022",28/03/2022  (Lok Sabha),04/04/2022,06/04/2022,,11 of 2022,
2022,93,"The Criminal Procedure (Identification) Bill, 2022",28/03/2022  (Lok Sabha),04/04/2022,06/04/2022,,11 of 2022,
2022,91,"THE CONSTITUTION (SCHEDULED CASTES AND SCHEDULED TRIBES) ORDERS (SECOND AMENDMENT) BILL, 2022",28/03/2022  (Lok Sabha),01/04/2022,14/12/2022,,20 of 2022,
2022,91,"THE CONSTITUTION (SCHEDULED CASTES AND SCHEDULED TRIBES) ORDERS (SECOND AMENDMENT) BILL, 2022",28/03/2022  (Lok Sabha),01/04/2022,14/12/2022,,20 of 2022,
2022,92,"The Delhi Municipal Corporation (Amendment) Bill, 2022",25/03/2022  (Lok Sabha),30/03/2022,05/04/2022,,10 of 2022,
2022,92,"The Delhi Municipal Corporation (Amendment) Bill, 2022",25/03/2022  (Lok Sabha),30/03/2022,05/04/2022,,10 of 2022,
2022,81,"The Appropriation Bill, 2022",24/03/2022  (Lok Sabha),24/03/2022,29/03/2022,,7 of 2022,
2022,81,"The Appropriation Bill, 2022",24/03/2022  (Lok Sabha),24/03/2022,29/03/2022,,7 of 2022,
2022,83,"The Appropriation (No.3) Bill, 2022",14/03/2022  (Lok Sabha),14/03/2022,21/03/2022,,3 of 2022,
2022,83,"The Appropriation (No.3) Bill, 2022",14/03/2022  (Lok Sabha),14/03/2022,21/03/2022,,3 of 2022,
2022,82,"The Appropriation (No.2) Bill, 2022",14/03/2022  (Lok Sabha),14/03/2022,21/03/2022,,2 of 2022,
2022,82,"The Appropriation (No.2) Bill, 2022",14/03/2022  (Lok Sabha),14/03/2022,21/03/2022,,2 of 2022,
2022,80,"The Jammu and Kashmir Appropriation (No.2) Bill, 2022",14/03/2022  (Lok Sabha),14/03/2022,23/03/2022,,5 of 2022,
2022,80,"The Jammu and Kashmir Appropriation (No.2) Bill, 2022",14/03/2022  (Lok Sabha),14/03/2022,23/03/2022,,5 of 2022,
2022,79,"The Jammu and Kashmir Appropriation Bill, 2022",14/03/2022  (Lok Sabha),14/03/2022,23/03/2022,,4 of 2022,
2022,79,"The Jammu and Kashmir Appropriation Bill, 2022",14/03/2022  (Lok Sabha),14/03/2022,23/03/2022,,4 of 2022,
2022,21,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (AMENDMENT) BILL, 2022",07/02/2022  (Lok Sabha),28/03/2022,06/04/2022,,9 of 2022,
2022,21,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (AMENDMENT) BILL, 2022",07/02/2022  (Lok Sabha),28/03/2022,06/04/2022,,9 of 2022,
2022,9,"The Hindu Marriage (Amendment) Bill, 2022 (Insertion of new section 7A)",04/02/2022  (Lok Sabha),,,,,
2022,8,"The Prevention of Cruelty to Animals (Amendment) Bill, 2022 (Amendment of sections 11 and 20)",04/02/2022  (Lok Sabha),,,,,
2022,7,"The Bureau of Accountability Bill, 2022.",04/02/2022  (Lok Sabha),,,,,
2022,6,"The Members of Parliament (Adoption of Sportspersons) Bill, 2022",04/02/2022  (Lok Sabha),,,,,
2022,5,"The Direct Cash Transfer (Financial Assistance to Poor Households) Bill, 2022.",04/02/2022  (Lok Sabha),,,,,
2022,4,"The Constitution (Amendment) Bill, 2022 (Insertion of new article 21B)",04/02/2022  (Lok Sabha),,,,,
2022,3,"The Constitution (Amendment) Bill, 2022 (Amendment of the Preamble, etc.)",04/02/2022  (Lok Sabha),,,,,
2022,20,"The Constitution (Amendment) Bill, 2022 (Substitution of new article for article 85, etc.) )",04/02/2022  (Lok Sabha),,,,,
2022,17,"The Indian Penal Code (Amendment) Bill, 2022 (Amendment of section 166)",04/02/2022  (Lok Sabha),,,,,
2022,16,"The Infants, Children and Young Adults (Comprehensive Care and Protection) Bill, 2022",04/02/2022  (Lok Sabha),,,,,
2022,15,"The Compulsory Teaching of Financial Education Bill, 2022",04/02/2022  (Lok Sabha),,,,,
2022,14,"The Constitution (Amendment) Bill, 2022 (Insertion of new article 16A)",04/02/2022  (Lok Sabha),,,,,
2022,12,"The Martyrs (Payment of Adequate Compensation) Bill, 2022",04/02/2022  (Lok Sabha),,,,,
2022,10,"The Narcotic Drugs and Psychotropic Substances (Amendment) Bill, 2022 (Amendment of section 2, etc.)",04/02/2022  (Lok Sabha),,,,,
2021,92,"The Right to Work Bill, 2021",04/02/2022  (Lok Sabha),,,,,
2021,87,"The Constitution (Amendment) Bill, 2021 (Amendment of article 51A).",04/02/2022  (Lok Sabha),,,,,
2021,81,"The Population Control Bill, 2021",04/02/2022  (Lok Sabha),,,,,
2021,80,"The Compulsory Yoga and Sports Education in Schools Bill, 2021",04/02/2022  (Lok Sabha),,,,,
2021,8,"The Women's (Reservation in Workplace) Bill, 2021.",04/02/2022  (Lok Sabha),,,,,
2021,78,"The Other Backward Classes (Removal of Creamy Layer Criteria) Bill, 2021",04/02/2022  (Lok Sabha),,,,,
2021,64,"The Indian Penal Code (Amendment) Bill, 2021 (Omission of section 124A)",04/02/2022  (Lok Sabha),,,,,
2021,52,"The Beggars (Employment, Skill Development and Rehabilitation) Bill, 2021",04/02/2022  (Lok Sabha),,,,,
2021,45,"The Asylum Bill, 2021",04/02/2022  (Lok Sabha),,,,,
2021,40,"The Uniform Civil Code Bill, 2021",04/02/2022  (Lok Sabha),,,,,
2021,39,"The Right of Children to Free and Compulsory Education (Amendment) Bill, 2021 (Amendment of section 2, etc.)",04/02/2022  (Lok Sabha),,,,,
2021,32,"The Constitution (Amendment) Bill, 2021 (Amendment of article 124)",04/02/2022  (Lok Sabha),,,,,
2021,30,"The National Board for Creation of Small States Bill, 2021.",04/02/2022  (Lok Sabha),,,,,
2021,27,"The Prevention of Acid Attacks and Rehabilitation of Acid Attack Victims Bill, 2021",04/02/2022  (Lok Sabha),,,,,
2021,23,"The Protection of Women from Domestic Violence (Amendment) Bill, 2021 (Amendment of sections 5 and 9).",04/02/2022  (Lok Sabha),,,,,
2021,22,"The Constitution (Amendment) Bill, 2021 (Amendment of articles 84 and 173)",04/02/2022  (Lok Sabha),,,,,
2021,20,"The Constitution (Amendment) Bill, 2021 (Substitution of new article and subheading thereto for article 29)",04/02/2022  (Lok Sabha),,,,,
2021,157,"The National Urban Employment Guarantee Bill, 2021",04/02/2022  (Lok Sabha),,,,,
2021,156,"The Code on Social Security (Amendment) Bill, 2021 (Amendment of section 2, etc.)",04/02/2022  (Lok Sabha),,,,,
2021,154,"The Waqf (Amendment) Bill, 2021 (Insertion of new Section 43A)",04/02/2022  (Lok Sabha),,,,,
2021,153,"The Persons Living on Riverine Islands in the State of Assam (Welfare and Census) Bill, 2021",04/02/2022  (Lok Sabha),,,,,
2021,150,"The Provisions of the Municipalities (Extension to the Scheduled Areas) Bill, 2021",04/02/2022  (Lok Sabha),,,,,
2021,149,"The Special Financial Assistance for Ancient Monuments and Archaeological Sites and Remains in the State of Tamil Nadu Bill, 2021",04/02/2022  (Lok Sabha),,,,,
2021,146,"The Scheduled Tribes (Reservation in Posts and Services and Filling up of Vacancies in a Time Bound Manner) Bill, 2021",04/02/2022  (Lok Sabha),,,,,
2021,145,"The Constitution (Amendment) Bill, 2021 (Amendment of article 243C)",04/02/2022  (Lok Sabha),,,,,
2021,14,"The Other Backward Classes and Economically Weaker Sections (Census and Other Welfare Provisions) Bill, 2021",04/02/2022  (Lok Sabha),,,,,
2021,133,"The Compulsory Teaching of Knowledge, Traditions and Practices of India in Educational Institutions Bill, 2021",04/02/2022  (Lok Sabha),,,,,
2021,131,"The Andhra Pradesh Reorganisation (Amendment) Bill, 2021 (Amendment of Thirteenth Schedule)",04/02/2022  (Lok Sabha),,,,,
2021,13,"The Women (Development and Welfare) Authority Bill, 2021.",04/02/2022  (Lok Sabha),,,,,
2021,11,"The Mahatma Gandhi national Rural Employment Guarantee (Amendment) Bill, 2021 (Amendment of Schedule I)",04/02/2022  (Lok Sabha),,,,,
2021,10,"The Distressed Widows and Single Women (Protection, Rehabilitation and Welfare) Bill, 2021.",04/02/2022  (Lok Sabha),,,,,
2020,92,"The National Commission for Creation of Small States Bill, 2020",04/02/2022  (Lok Sabha),,,,,
2020,69,"The Information Technology (Amendment) Bill, 2020 (Amendment of section 7)",04/02/2022  (Lok Sabha),,,,,
2020,63,"The Welfare of Families of Defence Personnel Bill, 2020",04/02/2022  (Lok Sabha),,,,,
2020,57,"The Constitution (Amendment) Bill, 2020 (Amendment of article 16)",04/02/2022  (Lok Sabha),,,,,
2020,54,"The Right of Children to Free and Compulsory Education (Amendment) Bill, 2020 (Insertion of new section 6A)",04/02/2022  (Lok Sabha),,,,,
2020,53,"The Pre-School Regulatory Authority Bill, 2020",04/02/2022  (Lok Sabha),,,,,
2020,51,"The National Crop Insurance Commission Bill, 2020",04/02/2022  (Lok Sabha),,,,,
2020,50,"The Compulsory Donation of Surplus Food Bill, 2020",04/02/2022  (Lok Sabha),,,,,
2020,43,"The Protection of Farmers Families Bill, 2020.",04/02/2022  (Lok Sabha),,,,,
2020,41,"The Farmers (Guaranteed Income and Welfare) Bill, 2020",04/02/2022  (Lok Sabha),,,,,
2020,40,"The Secularism and Communal Harmony (Preservation) Bill, 2020",04/02/2022  (Lok Sabha),,,,,
2020,35,"The Special Financial Assistance to the Korapur, Balangir and Kalahandi Region of the State of Odisha Bill, 2020",04/02/2022  (Lok Sabha),,,,,
2020,30,"The Commission for the Formation of the State of Vidarbha Bill, 2020.",04/02/2022  (Lok Sabha),,,,,
2020,3,"The Heritage Cities and Sites (Conservation and Development) Bill, 2020.",04/02/2022  (Lok Sabha),,,,,
2020,23,"The Online Platform Delivery Personnel (Protection) Bill, 2020.",04/02/2022  (Lok Sabha),,,,,
2020,22,"The Gutka and Pan Masala (Prohibition) Bill, 2020.",04/02/2022  (Lok Sabha),,,,,
2020,107,"The Right of Persons with Disabilities (Amendment) Bill, 2020 (Amendment of section 2, etc.).",04/02/2022  (Lok Sabha),,,,,
2020,104,"The Single Use Plastic (Regulation) Bill, 2020",04/02/2022  (Lok Sabha),,,,,
2020,103,"The Constitution (Amendment) Bill, 2020 (Amendment of article 124)",04/02/2022  (Lok Sabha),,,,,
2020,102,"The Reduction of Food Wastage and Redistribution of Excess Food Bill, 2020",04/02/2022  (Lok Sabha),,,,,
2020,101,"The Judicious Use of Tax Revenue (For Government Advertisements) Bill, 2020.",04/02/2022  (Lok Sabha),,,,,
2020,1,"The Maintenance of Food, Potable Water and Fodder Supplies in Drought Affected Areas Bill, 2020.",04/02/2022  (Lok Sabha),,,,,
2022,18,"The Finance Bill, 2022",01/02/2022  (Lok Sabha),25/03/2022,29/03/2022,,6 of 2022,
2022,18,"The Finance Bill, 2022",01/02/2022  (Lok Sabha),25/03/2022,29/03/2022,,6 of 2022,
2021,163,"THE PROHIBITION OF CHILD MARRIAGE (AMENDMENT) BILL, 2021",21/12/2021  (Lok Sabha),,,,,
2021,162,"The Election Laws (Amendment) Bill, 2021",20/12/2021  (Lok Sabha),20/12/2021,21/12/2021,,49 of 2021,
2021,162,"The Election Laws (Amendment) Bill, 2021",20/12/2021  (Lok Sabha),20/12/2021,21/12/2021,,49 of 2021,
2021,152,"The Appropriation (No. 5) Bill, 2021",20/12/2021  (Lok Sabha),20/12/2021,,,1 of 2022,
2021,152,"The Appropriation (No. 5) Bill, 2021",20/12/2021  (Lok Sabha),20/12/2021,,,1 of 2022,
2021,161,"THE CHARTERED ACCOUNTANTS, THE COST AND WORKS ACCOUNTANTS AND THE COMPANY SECRETARIES (AMENDMENT) BILL, 2021",17/12/2021  (Lok Sabha),30/03/2022,05/04/2022,,12 of 2022,
2021,161,"THE CHARTERED ACCOUNTANTS, THE COST AND WORKS ACCOUNTANTS AND THE COMPANY SECRETARIES (AMENDMENT) BILL, 2021",17/12/2021  (Lok Sabha),30/03/2022,05/04/2022,,12 of 2022,
2021,160,"THE NATIONAL ANTI-DOPING BILL, 2022",17/12/2021  (Lok Sabha),27/07/2022,03/08/2022,,15 of 2022,
2021,160,"THE NATIONAL ANTI-DOPING BILL, 2022",17/12/2021  (Lok Sabha),27/07/2022,03/08/2022,,15 of 2022,
2021,159,"THE WILD LIFE (PROTECTION) AMENDMENT BILL, 2022",17/12/2021  (Lok Sabha),02/08/2022,08/12/2022,,18 of 2022,
2021,159,"THE WILD LIFE (PROTECTION) AMENDMENT BILL, 2022",17/12/2021  (Lok Sabha),02/08/2022,08/12/2022,,18 of 2022,
2021,158,"THE BIOLOGICAL DIVERSITY (AMENDMENT) BILL, 2021",16/12/2021  (Lok Sabha),,,,,
2021,151,"The Narcotic Drugs and Psychotropic Substances (Amendment) Bill, 2021",06/12/2021  (Lok Sabha),13/12/2021,20/12/2021,,48 of 2021,
2021,89,"The Constitution (Amendment) Bill, 2021 (Amendment of article 55, etc.)",03/12/2021  (Lok Sabha),,,,,
2021,51,"The Constitution (Amendment) Bill, 2021 (Amendment of article 80, etc.)",03/12/2021  (Lok Sabha),,,,,
2021,48,"The Payment of Compensation to Victims of Wildlife Encounters Bill, 2021",03/12/2021  (Lok Sabha),,,,,
2021,46,"The Constitution (Amendment) Bill, 2021 (Substitution of new article for article 129, etc.)",03/12/2021  (Lok Sabha),,,,,
2021,41,"The Climate Change (Net Zero Carbon) Bill, 2021",03/12/2021  (Lok Sabha),,,,,
2021,35,"The Prevention of Cruelty to Animals (Amendment) Bill, 2021 (Amendment of section 11)",03/12/2021  (Lok Sabha),,,,,
2021,34,"The Protection of Children from Sexual Offences (Amendment) Bill, 2021 (Amendment of section 11)",03/12/2021  (Lok Sabha),,,,,
2021,3,"The Prevention of Cruelty to Animals (Amendment) Bill, 2021 (Amendment of section 11)",03/12/2021  (Lok Sabha),,,,,
2021,29,"The Code of Criminal Procedure (Amendment) Bill, 2021 (Amendment of sections 41 and 309)",03/12/2021  (Lok Sabha),,,,,
2021,28,"The Rights of Persons with Disabilities (Amendment) Bill, 2021 (Amendment of the Schedule)",03/12/2021  (Lok Sabha),,,,,
2021,148,"THE CENTRAL VIGILANCE COMMISSION (AMENDMENT) BILL, 2021",03/12/2021  (Lok Sabha),09/12/2021,14/12/2021,,46 of 2021,
2021,148,"THE CENTRAL VIGILANCE COMMISSION (AMENDMENT) BILL, 2021",03/12/2021  (Lok Sabha),09/12/2021,14/12/2021,,46 of 2021,
2021,147,"The Delhi Special Police Establishment (Amendment) Bill, 2021",03/12/2021  (Lok Sabha),09/12/2021,14/12/2021,,45 of 2021,
2021,142,"The Management and Control of Stubble Bill, 2021",03/12/2021  (Lok Sabha),,,,,
2021,140,"The Insurance Coverage for Ayurvedic Treatment Bill, 2021",03/12/2021  (Lok Sabha),,,,,
2021,139,"The Representation of the People (Amendment) Bill, 2021 (Substitution of new section for section 61)",03/12/2021  (Lok Sabha),,,,,
2021,137,"The Ambulance Drivers and helpers (Welfare) Bill, 2021",03/12/2021  (Lok Sabha),,,,,
2021,136,"The Population (Control and Management) Bill, 2021",03/12/2021  (Lok Sabha),,,,,
2021,12,"The Compulsory Installation of Solar Plants Bill, 2021",03/12/2021  (Lok Sabha),,,,,
2021,117,"The Protection of Plants Varieties and Farmers' Rights (Amendment) Bill, 2021 (Insertion of new section 39A)",03/12/2021  (Lok Sabha),,,,,
2021,108,"The Representation of the People (Amendment) Bill, 2021 (Amendment of section 62)",03/12/2021  (Lok Sabha),,,,,
2021,106,"The Indian Evidence (Amendment) Bill, 2020 (Insertion of new section 114AA)",03/12/2021  (Lok Sabha),,,,,
2021,1,"The National Renewable Energy Credit Support Bill, 2021",03/12/2021  (Lok Sabha),,,,,
2020,90,"The Institutes of Technology (Amendment) Bill, 2020 (Insertion of new section 2A)",03/12/2021  (Lok Sabha),,,,,
2020,89,"The Constitution (Amendment) Bill, 2020 (Amendment of article 39A)",03/12/2021  (Lok Sabha),,,,,
2020,87,"The Reservation for the Scheduled Castes, the Scheduled Tribes and the Other backward Classes in Private Sector Bill, 2020",03/12/2021  (Lok Sabha),,,,,
2020,86,"The Rural Labour (Welfare) Bill, 2020",03/12/2021  (Lok Sabha),,,,,
2020,83,"The Reservation for the Other Backward Classes the Scheduled Castes and the Scheduled Tribes in Admission in Private Educational Institutions Bill, 2020",03/12/2021  (Lok Sabha),,,,,
2020,82,"The Anganwadi Workers (Regularisation of Service and Welfare) Bill, 2020",03/12/2021  (Lok Sabha),,,,,
2020,80,"The National Waste management Council Bill, 2020",03/12/2021  (Lok Sabha),,,,,
2020,79,"The Prohibition of Child Marriage (Amendment) Bill, 2020 (Amendment of section 2)",03/12/2021  (Lok Sabha),,,,,
2020,77,"The Constitution (Amendment) Bill, 2020 (Amendment of article 326)",03/12/2021  (Lok Sabha),,,,,
2020,73,"The Fifth Schedule to the Constitution (Amendment) Bill, 2020",03/12/2021  (Lok Sabha),,,,,
2020,71,"The Constitution (Amendment) Bill, 2020 (Amendment of article 124, etc.)",03/12/2021  (Lok Sabha),,,,,
2020,68,"The Rights of Persons with Disabilities (Amendment) Bill, 2020 (Insertion of new section 18A)",03/12/2021  (Lok Sabha),,,,,
2020,66,"The Narcotic Drugs and Psychotropic Substances (Amendment) Bill, 2020 (Amendment of section 2, etc.)",03/12/2021  (Lok Sabha),,,,,
2020,65,"The Orphan Street Children (Welfare) Bill, 2020",03/12/2021  (Lok Sabha),,,,,
2020,64,"The Population Regulation Bill, 2020",03/12/2021  (Lok Sabha),,,,,
2020,62,"The Horticulture Crops, Fresh Water Crops and Saline Water Crops in Coastal Areas (Minimum Support Price) Bill, 2020",03/12/2021  (Lok Sabha),,,,,
2020,58,"The Constitution (Amendment) Bill, 2020 (Amendment of article 21A)",03/12/2021  (Lok Sabha),,,,,
2020,52,"The Right of Children to Fee and Compulsory Education (Amendment) Bill, 2020 (Amendment of section 12)",03/12/2021  (Lok Sabha),,,,,
2020,46,"The Constitution (Amendment) Bill, 2020 (Amendment of articles 15 and 16)",03/12/2021  (Lok Sabha),,,,,
2020,45,"The Employment Bill, 2020",03/12/2021  (Lok Sabha),,,,,
2020,42,"The Promotion of One Tree Per Child Norm Bill, 2020",03/12/2021  (Lok Sabha),,,,,
2020,39,"The Whistleblowers in Private Sector (Protection) Bill, 2020",03/12/2021  (Lok Sabha),,,,,
2020,38,"The Constitution (Amendment) Bill, 2020 (Substitution of new article for article 120)",03/12/2021  (Lok Sabha),,,,,
2020,37,"The Special Financial Assistance to the KBK-K Region of the State of Odisha Bill, 2020",03/12/2021  (Lok Sabha),,,,,
2020,36,"The Labour (Welfare and Rehabilitation) Bill, 2020",03/12/2021  (Lok Sabha),,,,,
2020,34,"The Doubtful Voters in the State of Assam (Special Provisions) Bill, 2020)",03/12/2021  (Lok Sabha),,,,,
2020,32,"The Citizenship (Amendment) Bill, 2020 (Amendment of section 2, etc.)",03/12/2021  (Lok Sabha),,,,,
2020,31,"The Supreme Court of India (Establishment of a Permanent Bench at Chennai) Bill, 2020",03/12/2021  (Lok Sabha),,,,,
2020,27,"The Protection from Lynching Bill, 2020.",03/12/2021  (Lok Sabha),,,,,
2020,25,"The Constitution (Amendment) Bill, 2020 (Insertion of new article 14A)",03/12/2021  (Lok Sabha),,,,,
2020,19,"The Dual Time Zones Bill, 2020",03/12/2021  (Lok Sabha),,,,,
2020,18,"The Prevention of Insults to National Honour (Amendment) Bill, 2020 (Amendment of section 2)",03/12/2021  (Lok Sabha),,,,,
2020,17,"The ASHA Workers (Regularisation of Service and Other Benefits) Bill, 2020.",03/12/2021  (Lok Sabha),,,,,
2020,13,"The Constitution (Amendment) Bill, 2020 (Amendment of article 312)",03/12/2021  (Lok Sabha),,,,,
2020,109,"The Parliamentary Constituency (Lok Sabha) Development Fund Bill, 2020",03/12/2021  (Lok Sabha),,,,,
2020,108,"The Mahatma Gandhi national Rural Employment Guarantee (Amendment) Bill, 2020 (Amendment of Schedule I)",03/12/2021  (Lok Sabha),,,,,
2020,106,"The Supreme Court of India (Establishment of Circuit Benches at Ernakulam , Mumbai and Kolkata) Bill, 2020",03/12/2021  (Lok Sabha),,,,,
2021,144,"THE HIGH COURT AND SUPREME COURT JUDGES (SALARIES AND CONDITIONS OF SERVICE) AMENDMENT BILL, 2021",30/11/2021  (Lok Sabha),08/12/2021,13/12/2021,,44 of 2021,
2021,144,"THE HIGH COURT AND SUPREME COURT JUDGES (SALARIES AND CONDITIONS OF SERVICE) AMENDMENT BILL, 2021",30/11/2021  (Lok Sabha),08/12/2021,13/12/2021,,44 of 2021,
2021,143,"THE FARM LAWS REPEAL BILL, 2021",29/11/2021  (Lok Sabha),29/11/2021,29/11/2021,,40 of 2021,
2021,143,"THE FARM LAWS REPEAL BILL, 2021",29/11/2021  (Lok Sabha),29/11/2021,29/11/2021,,40 of 2021,
2021,126,"The National Commission for Homoeopathy (Amendment) Bill, 2021",09/08/2021  (Lok Sabha),10/08/2021,11/08/2021,,39 of 2021,
2021,126,"The National Commission for Homoeopathy (Amendment) Bill, 2021",09/08/2021  (Lok Sabha),10/08/2021,11/08/2021,,39 of 2021,
2021,125,"The National Commission for Indian System of Medicine (Amendment) Bill, 2021",09/08/2021  (Lok Sabha),10/08/2021,11/08/2021,,38 of 2021,
2021,125,"The National Commission for Indian System of Medicine (Amendment) Bill, 2021",09/08/2021  (Lok Sabha),10/08/2021,11/08/2021,,38 of 2021,
2021,124,"The Constitution (One Hundred and Fifth Amendment) Bill, 2021",09/08/2021  (Lok Sabha),10/08/2021,11/08/2021,,,
2021,124,"The Constitution (One Hundred and Fifth Amendment) Bill, 2021",09/08/2021  (Lok Sabha),10/08/2021,11/08/2021,,,
2021,120,"THE TAXATION LAWS (AMENDMENT) BILL, 2021",05/08/2021  (Lok Sabha),06/08/2021,09/08/2021,,34 of 2021,
2021,120,"THE TAXATION LAWS (AMENDMENT) BILL, 2021",05/08/2021  (Lok Sabha),06/08/2021,09/08/2021,,34 of 2021,
2021,119,"THE CENTRAL UNIVERSITIES (AMENDMENT) BILL, 2021",05/08/2021  (Lok Sabha),06/08/2021,09/08/2021,,27 of 2021,
2021,119,"THE CENTRAL UNIVERSITIES (AMENDMENT) BILL, 2021",05/08/2021  (Lok Sabha),06/08/2021,09/08/2021,,27 of 2021,
2021,116,"The Tribunals Reforms Bill, 2021",02/08/2021  (Lok Sabha),03/08/2021,09/08/2021,,33 of 2021,
2021,116,"The Tribunals Reforms Bill, 2021",02/08/2021  (Lok Sabha),03/08/2021,09/08/2021,,33 of 2021,
2021,115,"THE GENERAL INSURANCE BUSINESS (NATIONALISATION) AMENDMENT BILL, 2021",30/07/2021  (Lok Sabha),02/08/2021,11/08/2021,,37 of 2021,
2021,115,"THE GENERAL INSURANCE BUSINESS (NATIONALISATION) AMENDMENT BILL, 2021",30/07/2021  (Lok Sabha),02/08/2021,11/08/2021,,37 of 2021,
2021,110,"THE COMMISSION FOR AIR QUALITY MANAGEMENT IN NATIONAL CAPITAL REGION AND ADJOINING AREAS BILL, 2021",30/07/2021  (Lok Sabha),04/08/2021,05/08/2021,,29 of 2021,
2021,110,"THE COMMISSION FOR AIR QUALITY MANAGEMENT IN NATIONAL CAPITAL REGION AND ADJOINING AREAS BILL, 2021",30/07/2021  (Lok Sabha),04/08/2021,05/08/2021,,29 of 2021,
2021,103,"The Appropriation (No. 4) Bill, 2021",28/07/2021  (Lok Sabha),28/07/2021,,,36 of 2021,
2021,103,"The Appropriation (No. 4) Bill, 2021",28/07/2021  (Lok Sabha),28/07/2021,,,36 of 2021,
2021,102,"The Appropriation (No. 3) Bill, 2021",28/07/2021  (Lok Sabha),28/07/2021,,,35 of 2021,
2021,102,"The Appropriation (No. 3) Bill, 2021",28/07/2021  (Lok Sabha),28/07/2021,,,35 of 2021,
2021,104,"The Insolvency and Bankruptcy Code (Amendment) Bill, 2021",26/07/2021  (Lok Sabha),28/07/2021,03/08/2021,,26 of 2021,
2021,104,"The Insolvency and Bankruptcy Code (Amendment) Bill, 2021",26/07/2021  (Lok Sabha),28/07/2021,03/08/2021,,26 of 2021,
2021,99,"THE INLAND VESSELS BILL, 2021",22/07/2021  (Lok Sabha),29/07/2021,02/08/2021,,24 of 2021,
2021,99,"THE INLAND VESSELS BILL, 2021",22/07/2021  (Lok Sabha),29/07/2021,02/08/2021,,24 of 2021,
2021,101,"The Essential Defence Services Bill, 2021",22/07/2021  (Lok Sabha),03/08/2021,05/08/2021,,25 of 2021,
2021,101,"The Essential Defence Services Bill, 2021",22/07/2021  (Lok Sabha),03/08/2021,05/08/2021,,25 of 2021,
2021,77,"THE AIRPORTS ECONOMIC REGULATORY AUTHORITY OF INDIA (AMENDMENT) BILL, 2021",24/03/2021  (Lok Sabha),29/07/2021,04/08/2021,,28 of 2021,
2021,77,"THE AIRPORTS ECONOMIC REGULATORY AUTHORITY OF INDIA (AMENDMENT) BILL, 2021",24/03/2021  (Lok Sabha),29/07/2021,04/08/2021,,28 of 2021,
2021,76,"THE NATIONAL BANK FOR FINANCING INFRASTRUCTURE AND DEVELOPMENT BILL, 2021",22/03/2021  (Lok Sabha),23/03/2021,25/03/2021,,17 of 2021,
2021,72,"THE JAMMU AND KASHMIR APPROPRIATION BILL, 2021",18/03/2021  (Lok Sabha),18/03/2021,23/03/2021,,12 of 2021,
2021,71,"THE PUDUCHERRY APPROPRIATION BILL, 2021",18/03/2021  (Lok Sabha),18/03/2021,23/03/2021,,11 of 2021,
2021,70,"THE PUDUCHERRY APPROPRIATION (VOTE ON ACCOUNT) BILL, 2021",18/03/2021  (Lok Sabha),18/03/2021,23/03/2021,,10 of 2021,
2021,69,"THE JAMMU AND KASHMIR APPROPRIATION (No. 2) BILL, 2021",18/03/2021  (Lok Sabha),18/03/2021,23/03/2021,,9 of 2021,
2021,17,"The Appropriation Bill, 2021",18/03/2021  (Lok Sabha),18/03/2021,23/03/2021,,5 of 2021,
2021,53,"The Appropriation (No.2) Bill, 2021",17/03/2021  (Lok Sabha),17/03/2021,23/03/2021,,7 of 2021,
2021,65,"THE MINES AND MINERALS (DEVELOPMENT AND REGULATION) AMENDMENT BILL, 2021",15/03/2021  (Lok Sabha),19/03/2021,22/03/2021,,16 of 2021,
2021,60,"THE MARINE AIDS TO NAVIGATION BILL, 2021",15/03/2021  (Lok Sabha),22/03/2021,27/07/2021,,20 of 2021,
2021,60,"THE MARINE AIDS TO NAVIGATION BILL, 2021",15/03/2021  (Lok Sabha),22/03/2021,27/07/2021,,20 of 2021,
